City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,whitehorse,60.7161,-135.0538,-2.72,92,100,3.58,CA,1731298041
119,abu zabad,12.35,29.25,23.07,25,60,5.79,SD,1731298042
120,pacasmayo,-7.4006,-79.5714,17.89,87,84,3.51,PE,1731298043
121,yuzhno-kurilsk,44.0306,145.8556,8.25,62,69,9.59,RU,1731298044
122,lebu,-37.6167,-73.65,10.74,87,38,1.57,CL,1731298046
123,nahiyat al fuhud,30.9697,46.7228,24.34,31,97,3.1,IQ,1731298047
124,tsiombe,-25.3,45.4833,26.62,58,65,0.37,MG,1731298048
125,yoichi,43.2039,140.7703,8.41,56,9,5.25,JP,1731298049
126,leava,-14.3,-178.1667,27.66,79,97,4.45,WF,1731298050
127,iqaluit,63.7506,-68.5145,-8.9,80,69,2.17,CA,1731298051
128,port isabel,26.0734,-97.2086,24.02,94,0,2.57,US,1731297842
129,tazovsky,67.4667,78.7,-17.02,93,100,7.07,RU,1731298053
130,college,64.8569,-147.8028,-17.03,85,20,1.54,US,1731297972
131,polyarnyy,69.1989,33.4478,3.11,75,100,7.25,RU,1731298056
132,souillac,-20.5167,57.5167,27.21,78,75,5.66,MU,1731298057
133,katsuura,35.1333,140.3,19.96,81,100,5.65,JP,1731298058
134,stanley,54.868,-1.6985,5.29,91,52,2.06,GB,1731298059
135,pittsburg,38.028,-121.8847,15.71,70,0,3.09,US,1731298060
136,puerto aysen,-45.4,-72.7,6.05,99,100,2.21,CL,1731297843
137,opuwo,-18.0607,13.84,19.94,35,70,1.15,NA,1731298062
138,wewak,-3.5534,143.6268,27.96,78,98,0.77,PG,1731298064
139,cabo san lucas,22.8909,-109.9124,23.75,72,4,1.34,MX,1731297967
140,fortaleza,-3.7227,-38.5247,26.79,73,20,5.14,BR,1731298066
141,ginir,7.1333,40.7,15.13,77,71,1.69,ET,1731298067
142,gornyy,55.1153,83.9059,-4.01,96,100,4.12,RU,1731298068
143,bredasdorp,-34.5322,20.0403,13.64,89,33,1.8,ZA,1731298069
144,verkhnevilyuysk,63.4453,120.3167,-11.43,92,100,2.72,RU,1731298070
145,avarua,-21.2078,-159.775,24.03,69,75,4.63,CK,1731297844
146,vilhena,-12.7406,-60.1458,21.08,98,100,1.57,BR,1731298073
147,happy valley-goose bay,53.3168,-60.3315,-0.15,64,0,4.37,CA,1731298074
148,tura,25.5198,90.2201,26.34,58,0,0.79,IN,1731297844
149,celanova,42.153,-7.9551,10.5,96,88,1.13,ES,1731298076
150,kiunga,-6.1219,141.2906,28.35,86,90,1.6,PG,1731297845
151,sisimiut,66.9395,-53.6735,-6.23,79,100,3.63,GL,1731298079
152,remire-montjoly,4.9167,-52.2667,25.02,100,100,1.03,GF,1731298080
153,marica,-22.9194,-42.8186,19.89,82,1,2.87,BR,1731298082
154,weno,7.4515,151.8468,31.97,74,20,3.09,FM,1731298083
155,tonj,7.2737,28.6822,20.98,90,44,1.3,SS,1731298084
156,khandyga,62.6667,135.6,-16.48,91,100,0.42,RU,1731298085
157,uturoa,-16.7333,-151.4333,26.61,84,55,7.1,PF,1731297845
158,san antonio de pale,-1.4014,5.6325,25.84,85,89,4.36,GQ,1731298087
159,flying fish cove,-10.4217,105.6791,28.82,83,100,6.17,CX,1731298088
160,frontera,26.9333,-101.45,22.4,65,0,1.34,MX,1731298090
161,sandakan,5.8402,118.1179,30.82,66,40,2.24,MY,1731297846
